Code	Mnemonic	Operand	Bytes	Cycles	NZCIDV	Addr-Mode	Description
D5	CMP zpg,X	byte	2	4	+++---	zeropage,X	Compare Memory with Accumulator
D6	DEC zpg,X	byte	2	6	++----	zeropage,X	Decrement Memory by One
D7							(P65C816)
D8	CLD		1	2	----0-	implied	Clear Decimal Mode(0 -> D)
D9	CMP abs,Y	word	3	4*	+++---	absolute,Y	Compare Memory with Accumulator
DA							(P65C02)
DB							(P65C816)
DC							(P65C816)
DD	CMP abs,X	word	3	4*	+++---	absolute,X	Compare Memory with Accumulator
DE	DEC abs,X	word	3	7	++----	absolute,X	Decrement Memory by One
DF							(P65C816)
E0	CPX #	byte	2	2	+++---	immediate	Compare Memory and Index X
E1	SBC (ind,X)	byte	2	6	+++--+	(indirect,X)	Subtract Memory from Accumulator with Borrow
E2							(P65C816)
E3							(P65C816)
E4	CPX zpg	byte	2	3	+++---	zeropage	Compare Memory and Index X
E5	SBC zpg	byte	2	3	+++--+	zeropage	Subtract Memory from Accumulator with Borrow
E6	INC zpg	byte	2	5	++----	zeropage	Increment Memory by One
E7							(P65C816)
E8	INX		1	2	++----	implied	Increment Index X by One
E9	SBC #	byte	2	2	+++--+	immediate	Subtract Memory from Accumulator with Borrow
EA	NOP		1	2	------	implied	No Operation
EB							(P65C816)
EC	CPX abs	word	3	4	+++---	absolute	Compare Memory and Index X
ED	SBC abs	word	3	4	+++--+	absolute	Subtract Memory from Accumulator with Borrow
EE	INC abs	word	3	6	++----	absolute	Increment Memory by One
EF							(P65C816)
F0	BEQ rel	sbyte	2	2**	------	relative	Branch on Result Zero(branch on Z = 1)
F1	SBC (ind),Y	byte	2	5*	+++--+	(indirect),Y	Subtract Memory from Accumulator with Borrow
F2							(P65C02)
F3							(P65C816)
F4							(P65C816)
F5	SBC zpg,X	byte	2	4	+++--+	zeropage,X	Subtract Memory from Accumulator with Borrow
F6	INC zpg,X	byte	2	6	++----	zeropage,X	Increment Memory by One
F7							(P65C816)
F8	SED		1	2	----1-	implied	Set Decimal Flag(1 -> D)
F9	SBC abs,Y	word	3	4*	+++--+	absolute,Y	Subtract Memory from Accumulator with Borrow
FA							(P65C02)
FB							(P65C816)
FC							(P65C816)
FD	SBC abs,X	word	3	4*	+++--+	absolute,X	Subtract Memory from Accumulator with Borrow
FE	INC abs,X	word	3	7	++----	absolute,X	Increment Memory by One
FF							(P65C816)
